Date,Price,Change 
2017-02-09,42031.00,-0.74
2017-02-10,42597.00,1.35
2017-02-13,42422.00,-0.41
2017-02-14,42480.00,0.14
2017-02-15,42651.00,0.40
2017-02-16,43010.00,0.84
2017-02-17,42937.00,-0.17
2017-02-20,42900.00,-0.09
2017-02-21,42836.00,-0.15
2017-02-22,42713.00,-0.29
2017-02-23,42856.00,0.33
2017-02-24,43353.00,1.16
2017-02-27,43424.00,0.16
2017-02-28,43247.00,-0.41
2017-03-01,43408.00,0.37
2017-03-02,42182.00,-2.82
2017-03-03,42151.00,-0.07
2017-03-06,42429.00,0.66
2017-03-07,41943.00,-1.15
2017-03-08,41430.00,-1.22
2017-03-09,40834.00,-1.44
2017-03-10,40528.00,-0.75
2017-03-13,40418.00,-0.27
2017-03-14,40083.00,-0.83
2017-03-15,40045.00,-0.09
2017-03-16,40598.00,1.38
2017-03-17,40909.00,0.77
